,Avg_Connected_UEs,HO Failures,PRB Util%,HQ_EXE_TOTARGET_FAILURE_QCI_1,DL Packet Loss Pct,Bearer Drop Voice%,Bearer Drops,RRC Setup Failures,Bearer Setup Failure Voice%,HO_fail_InterFreq,Combined RACH Failure%,Avg CQI,QCI 1 Bearer Drop%,ERAB Setup Fail%,HO Failure%,TIMESTAMP,Bearer Drop%,DL_Coverage_Ratio,UL_Coverage_Ratio
0,28.9,0,14.18,0,0,0,0,1,0,0,0.04,10.67,0,0,0,1.69E+12,0,2.29,3.29
1,26.47,0,11.97,0,0,0,0,0,0,0,0.04,10.37,0,0,0,1.69E+12,0,3.08,4.08
2,22.45,0,5.66,0,0,0.027643312,0,0,0,0,0,10.03,0.027643312,0,0,1.69E+12,0,3.81,4.81
3,20.25,0,4.81,0.03,0,0,0,0,0,0,0.04,10.4,0,0.01,0,1.69E+12,0,2.45,3.45
4,20.09,0,11.96,0,0,0,0,0,0,0,0,9.93,0,0,0,1.69E+12,0,4.89,5.89
5,28.28,0,15.28,0,0,0,0,0,0,0,0.04,10.22,0,0,0,1.69E+12,0,4.85,5.85
6,32.45,0,21.46,0,0.01,0,0,2,0,0,0.06,8.57,0,0,0,1.69E+12,0,2.01,3.01
7,42.87,0,30.71,0.02,0,0,0,9,0,0,0.08,8.43,0,0.01,0,1.69E+12,0,2.99,3.99
8,54.09,0,36.73,0.03,0,0,0,5,0,0,0.07,8.42,0,0.03,0,1.69E+12,0,2.2,3.2
9,55.93,1,60.41,0,0,0,0,8,0,1,0.05,7.48,0,0,0.2,1.69E+12,0,2.14,3.14
10,55.08,0,43.82,0,0,0,1,2,0,0,0.11,7.61,0,0,0,1.69E+12,0.01,1.15,2.15
11,64.28,0,50.31,0.01,0,0,0,7,0,0,0.02,7.83,0,0.01,0,1.69E+12,0,3.44,4.44
12,68.52,0,62.12,0.01,0,0,0,9,0,0,0.08,7.55,0,0.01,0,1.69E+12,0,3.01,4.01
13,70.64,0,67.16,0,0,0,0,4,0,0,0.06,7.16,0,0,0,1.69E+12,0,1.21,2.21
14,66.76,0,69.93,0.03,0,0,1,1,0,0,0.11,7.82,0,0.03,0,1.69E+12,0.01,2.11,3.11
15,72.7,0,68.87,0.21,0.01,1.11,2,5,0,0,0.08,7.45,1.11,0.19,0,1.69E+12,0.01,4.63,5.63
16,65.84,0,59.3,0.01,0,0,0,7,0,0,0.11,7.08,0,0.01,0,1.69E+12,0,1.96,2.96
17,48.16,0,45.65,0.01,0,0,0,2,0,0,0.05,7.47,0,0.01,0,1.69E+12,0,1.58,2.58
18,48.61,0,41.85,0,0,0,0,4,0,0,0.09,7.87,0,0,0,1.69E+12,0,2.96,3.96
19,48.69,0,42.43,0,0,0,0,1,0,0,0.03,7.92,0,0,0,1.69E+12,0,4.94,5.94
20,41.75,0,27.46,0,0,3.23,3,2,0,1,0.03,8.04,3.23,0,0,1.69E+12,0.03,1.97,2.97
21,42.18,0,31.92,0,0,0,0,0,0,0,0,7.61,0,0,0,1.69E+12,0,3.69,4.69
22,39.24,0,24.25,0,0,0,0,0,0,0,0,8.9,0,0,0,1.69E+12,0,4.05,5.05
23,31.31,0,19.83,0,0,0,0,1,0,0,0,8.96,0,0,0,1.69E+12,0,1.95,2.95
24,30.1,0,23.64,0,0.02,0,2,0,0,0,0.04,9.92,0,0,0,1.69E+12,0.02,3.91,4.91
25,27.93,0,17.71,0,0,0,0,0,0,0,0,10.91,0,0,0,1.69E+12,0,2.47,3.47
26,23.79,0,10.13,0,0,0,0,0,0,0,0.04,10.58,0,0,0,1.69E+12,0,3.53,4.53
27,21.14,0,6.55,0,0,0,0,0,0,0,0,10.9,0,0,0,1.69E+12,0,3.53,4.53
28,18.93,0,5.83,0,0,0,0,0,0,0,0,11.42,0,0,0,1.69E+12,0,3.14,4.14
29,20.01,0,9.18,0,0,0,0,0,0,0,0,11.08,0,0,0,1.69E+12,0,1.36,2.36
30,23.42,0,8.34,0,0,0,0,0,0,0,0.04,10.53,0,0,0,1.69E+12,0,4.34,5.34
31,34.18,0,20.14,0,0.04,0,1,0,0,0,0,9.6,0,0,0,1.69E+12,0.01,2.28,3.28
32,44.12,0,32.5,0,0,0,0,0,0,0,0.06,8.27,0,0,0,1.69E+12,0,1.75,2.75
33,50.97,0,38.78,0,0,0,0,2,0,0,0.07,7.89,0,0,0,1.69E+12,0,1.16,2.16
34,57.72,0,50.65,0,0,0,0,1,0,0,0.07,7.91,0,0,0,1.69E+12,0,3.36,4.36
35,55.1,0,48.51,0,0,0,0,7,0,1,0.05,8.31,0,0,0,1.69E+12,0,3.71,4.71
36,51.15,0,43.03,0,0.01,0,2,0,0,0,0.02,7.56,0,0,0,1.69E+12,0.01,1.07,2.07
37,46.84,0,46.74,0,0,0,0,4,0,0,0.09,7.89,0,0,0,1.69E+12,0,3.05,4.05
38,43.46,0,35.54,0,0,0,0,0,0,0,0.07,8,0,0,0,1.69E+12,0,1.91,2.91
39,41.92,0,33.91,0,3.13,0,1,1,0,0,0.06,8.13,0,0,0,1.69E+12,0.01,3.58,4.58
40,39.73,0,24.19,0.02,0.01,0,0,0,0,0,0.1,8.91,0,0.02,0,1.69E+12,0,1.7,2.7
41,33.53,0,31.87,0,0,0,0,1,0,0,0.07,8.67,0,0,0,1.69E+12,0,3.76,4.76
42,32.71,0,27.02,0.02,0,0,0,1,0,0,0.07,8.05,0,0.02,0,1.69E+12,0,2.55,3.55
43,30.76,0,24.14,0,0,0,0,0,0,0,0.07,9.07,0,0,0,1.69E+12,0,4.75,5.75
44,30.88,0,27.55,0,0.02,0,3,2,0,0,0,8.23,0,0,0,1.69E+12,0.04,1.55,2.55
45,31.51,0,32.47,0,0,0,0,1,0,0,0,8.43,0,0,0,1.69E+12,0,2.36,3.36
46,31.32,0,29.97,0,0,0,0,0,0,0,0.04,8.41,0,0,0,1.69E+12,0,1.45,2.45
